		// migemo-dictの追加辞書(Mecab辞書から変換)
		// 最終更新: 2018/03/19 BowmoreLover
		// 本辞書の用途について:
		// ・migemo-dictにマージすることを想定した追加辞書
		// ・辞書キーを置き換えるのではなく、候補列への置き換え/追加を想定している
		// ・migemo-dictとは異なり、本ファイルではタブで始まる行はコメント扱い
		// 本辞書の内容:
		// ・別ツール用に作成したTES/Fallout/TW3用語Mecab辞書から、次の用語を抽出して変換したもの
		//   名詞、副詞、連体詞
		// ・Mecab辞書はMecabで「読めない」用語だけが対象なので、全ての用語を網羅していない点に注意

りふてんすくりぷとしーんとりで	リフテンスクリプトシーン砦
けなーしとう	ケナーシ島
げんそうつう	幻想痛
こうぎょうゆ	工業油
こっせつねつ	骨折熱
こむぎばたけ	小麦畑
ごーるどとう	ゴールド島
ごうつくばり	業突く張り
ごうもんじま	拷問島
ごうもんべや	拷問部屋
ごぜんじあい	御前試合
ごるごんさん	ゴルゴン山
さいだんべや	祭壇部屋
さいばいべや	栽培部屋
さきぼそいし	先細石
さぎょうべや	作業部屋
さすらいびと	さすらい人	流離人
さすらいもの	さすらい者	流離者
さつぎゅうき	殺牛鬼
さねっどとう	サネッド島
さぼるでぃけ	サボルディ家
さまよいびと	彷徨い人	彷徨人
さまようもの	さまよう者	彷徨う者
さるばれすけ	サルバレス家
さんでぃるけ	サンディル家
ざいろーがわ	ザイロー川
しあわせもの	幸せ者
しじょうかち	市場価値
しじょうがた	市場型
したいあさり	死体漁り
したかんぱん	下甲板
しなんのわざ	至難の業
しゃがんたい	遮眼帯
しゃむろんけ	シャムロン家
しゅうどうし	修道士
しゅえいべや	守衛部屋
しゅすいこう	取水口
しょういだん	焼夷弾
しょくじべや	食事部屋
しょけいにん	処刑人
しょヴりーけ	ショヴリー家
しらたるとう	シラタル島
しろのやしろ	白の社
しんざんもの	新参者
しんじゅかい	真珠海
しんせいさい	新生祭
しんせつもの	親切者
じーるとりで	ジール砦
じしゅのつき	蒔種の月
じゅじゅつし	呪術師
じゅんくすけ	ジュンクス家
じょーんずけ	ジョーンズ家
じょうきべや	蒸気部屋
じょうきょう	上胸
じょさいどう	除細動
すいみんべや	睡眠部屋
すずこうざん	スズ鉱山
すてんりくけ	ステンリク家
すぱいくさん	スパイク山
すぱいとさん	スパイト山
すみやきにん	炭焼人
せいあるもの	生ある者
せいけつずき	清潔好き
せいさくべや	製作部屋	制作部屋
せいさんべや	生産部屋
せいすいびん	聖水瓶
せいどういろ	青銅色
せいどうじま	聖堂島
せいどうばし	聖堂橋
せいひじゅつ	声秘術
せいめいのわ	生命の環
せかいきゅう	世界球
せぷてぃむけ	セプティム家
せんたくにん	洗濯人
せんたくもの	洗濯物
せヴぇりんけ	セヴェリン家
ぜれんとりで	ゼレン砦
そうそうそふ	曾曾祖父
そうそうそぼ	曾曾祖母
そうぞうしゅ	創造主
そうぞくにん	相続人
たいくつもの	退屈者
たいんとりで	タイン砦
たきぎのつき	薪木の月
たきせんたく	多肢選択
たちあいにん	立会人
たんさくこう	探索行
だいしんでん	大神殿
だいたいこつ	大腿骨
だいりつせき	大立石
だんざいにん	断罪人
ちげんびょう	知減病
ちゅうちょう	抽腸
ちょうきゅう	長弓
ちょうじょう	超常
ちょうりべや	調理部屋
ついついしん	追々伸
つたえしもの	伝えし者
つののかぶと	角の兜
てぃっせんけ	ティッセン家
ていたんさい	帝誕祭
ていてつじま	蹄鉄島
ておしぐるま	手押車
てるヴぁにけ	テルヴァニ家
てんせいせき	天青石
でぃれいんけ	ディレイン家
でぃれんがわ	ディレン川
とうぎじあい	闘技試合
とこあしらい	床あしらい
とこじょうず	床上手
とむらいざけ	弔い酒
どぅるーぬま	ドゥルー沼
どうぶつずき	動物好き
どすりえるけ	ドスリエル家
どりょうこう	度量衡
なぐさみもの	慰み者
にーびりーけ	ニービリー家
にゅーすべや	ニュース部屋
にょるどかい	ニョルド海
ねほりはほり	根堀り葉堀り
ねんだいもの	年代物
のうしんとう	脳振とう	脳振盪
はいいろちく	灰色地区
はいたつにん	配達人
はかほりにん	墓堀人	墓堀り人
はくひしょう	白皮症
はさみじゃく	はさみ尺
はちだいしん	八大神
はみだしもの	はみ出し者
はやぶささん	ハヤブサ山
はるしおんこ	ハルシオン湖
ばれんしあけ	バレンシア家
ばれんじあけ	バレンジア家
ばんにんべや	番人部屋
ばんれいさい	万霊祭
ぱくととりで	パクト砦
ひいひいじじ	曾曾祖父
ひいひいばば	曾曾祖母
ひかりちいき	光地域
ひきうけにん	引受人
ひきょうもの	卑怯者	ひきょう者	卑きょう者
ひとしょうぶ	一勝負
ひねくれもの	ひねくれ者
ひょうしょう	標章
ひんだーとう	ヒンダー島
びえにーなけ	ビエニーナ家
びたいちもん	ビタ一文	鐚一文
びょうきざみ	秒刻み
びょるさえこ	ビョルサエ湖
びらるどとう	ビラルド島
びりじあんこ	ビリジアン湖
ふぁいくとう	ファイク島
ふぁにーがわ	ファニー川
ふぁらーるけ	ファラール家
ふぇろーとう	フェロー島
ふとどきもの	不届き者
ふのうびょう	腐脳病
ふらやのその	フラヤの園
ぶさほうもの	無作法者
ぶしょうもの	無精者	不精者
ぶれとんかい	ブレトン海
ぷらせだわん	プラセダ湾
ぷれすりーけ	プレスリー家
へんくつもの	偏屈者
べとにーとう	ベトニー島
べとにいとう	ベトニイ島
べとにくとう	ベトニク島
べるろーずけ	ベルローズ家
ほーかーとう	ホーカー島
ほーむとりで	ホーム砦
ほうとうもの	放蕩者
ほうどうべや	報道部屋
ほわいとがわ	ホワイト川
ほんりっちこ	ホンリッチ湖
ほんりっひこ	ホンリッヒ湖
ぼるそでぃけ	ボルソディ家
ぽんたーがわ	ポンター川	ポンター河
まぎあとりで	マギア砦
まくどなうけ	マクドナウ家
まごころのひ	真心の日
まはかむさん	マハカム山
まもりしもの	守りし者
まるこっとけ	マルコット家
みかづきがわ	三日月川
みぎあしいわ	右足岩
みくろんとう	ミクロン島
みじゅくもの	未熟者
みずさいばい	水栽培
みずだめーじ	水ダメージ
みずばくはつ	水爆発
みずひんしつ	水品質
みとどけにん	見届け人	見届人
みはらいがく	未払額
むかしむかし	昔々
めだまじあい	目玉試合
ものおきべや	物置部屋
もんくれあけ	モンクレア家
やけどしそう	火傷しそう
やっかいもの	厄介者	やっかい者
やねうらべや	屋根裏部屋
やまねこさん	ヤマネコ山
やるーががわ	ヤルーガ川	ヤルーガ河
やるこうざん	ヤル鉱山
ゆうへいべや	幽閉部屋
ゆめおいびと	夢追い人	夢追人
よせんじあい	予選試合
よるぐりむこ	ヨルグリム湖
よろいしょう	鎧匠
らなるだいけ	ラナルダ池
らりあーとけ	ラリアート家
らんぼうもの	乱暴者
らヴぁれすけ	ラヴァレス家
りすまっとけ	リスマット家
りょうりにん	料理人
りょくちゅう	緑柱
るるするぶけ	ルルスルブ家
れいにるさん	レイニル山
れっどらんけ	レッドラン家
れんきんべや	錬金部屋
れんとうしょ	連祷書
ろすがーさん	ロスガー山
ヴぁるーさん	ヴァルー山
ヴぃれいんけ	ヴィレイン家
ヴぇろしさん	ヴェロシ山
ヴぬーらとう	ヴヌーラ島
あかあかと	赤々と
あかんぼく	亜灌木
あそびべや	遊び部屋
あばれもの	暴れ者
あむれんけ	アムレン家
あめるさん	アメル山
あやつりて	操り手
あらーのけ	アラーノ家
ありあすこ	アリアス湖
ありうすこ	アリウス湖
あるじさま	主様
あるじなき	主無き
あるばがわ	アルバ河
いーぶすけ	イーブス家
いーべすけ	イーベス家	イーべス家
いえでにん	家出人
いさかいめ	諍い女
いたみどめ	痛み止め
いちばせん	市場銭
いちやそう	一夜草
いなかもの	田舎者
いんじゅつ	隠術
いんちょう	引張
いんりょく	印力
いヴぇすけ	イヴェス家
うぃろーじ	ウィロー路
うけわたし	受渡
うしろあし	後脚
うしろだて	後ろ盾
うたいびと	歌い人
うつけもの	うつけ者	空け者
うわきもの	浮気者
うわぐすり	釉薬
えーむずけ	エームズ家
えきびょう	疫病
えっきょう	越橋
えんじゅう	園中
えんじゅつ	炎術
おーるさん	オール山
おうようび	央耀日
おおあばれ	大暴れ
おおかぶと	大兜
おおだんな	大旦那
おおひろば	大広場
おおまぬけ	大間抜け
おしぐるま	押車
おすりすけ	オスリス家
おせっかい	御節介
おのがしら	斧頭
おまりーけ	オマリー家
おめしもの	御召し物
おるすわん	オルス湾
かーすがわ	カース川	カース河
かいじょう	開錠
かえりんけ	カエリン家
かがっこつ	下顎骨
かぎじょう	鉤状
かくしあじ	隠し味
かくしべや	隠し部屋
かくりべや	隔離部屋
かくれべや	隠れ部屋
かけじあい	賭け試合
かこうせき	花崗石
かじきかい	カジキ海
かじだめし	舵試し
かたりぐさ	語り草
かたんせい	可鍛性
かちくべや	家畜部屋
かっしょく	渇色
かぬらすこ	カヌラス湖
かぬるすこ	カヌルス湖
かねばらい	金払い
かぼっとけ	カボット家
かもつべや	貨物部屋
かもらんけ	カモラン家
からふじゅ	空付呪
かんしにん	監視人
かんたいじ	簡体字
かんちがい	勘違
かんちょう	灌腸
かんぶつえ	灌仏会
かんりにん	管理人
がさつもの	がさつ者
がんこもの	頑固者
がんません	ベータ線
きししゃく	騎士爵
きっちんけ	キッチン家
きとうべや	祈祷部屋
きのこぐも	キノコ雲	きのこ雲	茸雲
きばんがん	基盤岩
きゅうあく	吸握
きゅうえん	休園	旧園
きゅうかい	九戒
きゅうげき	急撃
きゅうせい	吸精	仇成
きゅうぞう	吸臓
きゅうねつ	吸熱
きょうかく	鋏角
きょうげき	強撃
きょうしゃ	怯者
きょうせい	強勢
きょうぞう	鏡像
きょうろう	協働
きょにゅう	巨乳
きよきもの	清き者
きれいずき	きれい好き	キレイ好き	綺麗好き
きんどけい	金時計
きんようび	金耀日
きんりょく	金緑
ぎまーるけ	ギマール家
ぎょうかい	凝灰
ぎろーどけ	ギロード家
ぎんどけい	銀時計
くーざんけ	クーザン家
くすりだな	薬棚
くちぜんぶ	口前部
くらいとけ	クライト家
くるーぷけ	クループ家
くるまざき	車裂き
くろぐろと	黒々と	黒黒と
けつみゃく	血脈
けんしゃく	献酌
げつようび	月耀日
こうきでん	光起電
こうじょう	攻城
こがねいろ	黄金色
こじんべや	個人部屋
こはくいろ	琥珀色
こばくだん	枯爆弾
こぼっとこ	コボット湖
こまりもの	困り者
こもりうた	子守歌	子守り歌	子守唄	子守り唄
ころなちこ	コロナチ湖
こんちゅう	こん虫
ごーんとう	ゴーン島
ごぼうせい	五芒星
ごりにるけ	ゴリニル家
ごるんとう	ゴルン島
さいくべや	細工部屋
ささげもの	捧げ物
さつじんき	殺人鬼
さらしもの	晒し者
さんちょう	山頂
ざいろがわ	ザイロ川
しかめつら	しかめ面
しごとべや	仕事部屋
しせいじょ	至聖所
しせきえい	紫石英
しっせんけ	シッセン家
しっちょう	失聴
しつじべや	執事部屋
しとつこん	刺突痕
しまつにん	始末人
しゃしょう	斜檣
しゃれもの	洒落者
しゅじょう	酒醸
しゅちゅう	主柱
しょうかん	娼館
しょうごん	聖言
しょうせき	晶石
しょうどう	晶洞
しょうめい	召命
しょうやく	生薬
しょうらい	招雷
しょうろう	娼楼
しょくざい	しょく罪
しらじらと	白々と	白白と
しんしゅう	侵襲
しんぴかい	審秘会
じゃまもの	邪魔者
じゃろるけ	ジャロル家
じゅうじん	獣人
じゅうそう	重装
じゅうりん	蹂りん
じゅじょう	樹上
じょうおう	女王
じょうかい	上階
じょうしゃ	定者
じらいげん	地雷原
すいじゅつ	水術
すうしゅん	数瞬
すみびやき	炭火焼
せいいぶつ	聖遺物
せいがいふ	聖骸布
せいじゅう	聖獣
せいちょう	聖寵
せいちょく	聖勅
せこつばこ	聖骨箱
せもんどけ	セモンド家
せんしさい	戦士祭
ぜいかんり	税関吏
そーんさん	ソーン山
そうがじゃ	双牙蛇
そうじにん	掃除人
そくけいき	測径器
そこつもの	そこつ者	粗こつ者	粗忽者
たからべや	宝部屋
たたかいて	戦い手
たまごべや	卵部屋
たむりすけ	タムリス家
たんきゅう	短弓
だいさいし	大祭司
だいしさい	大司祭
だちゅーけ	ダチュー家
ちくぎゅう	畜牛
ちゅうくう	中空
ちゅうそう	中装
ちょうだん	跳弾
ちょくれい	勅令
つうきこう	通気口
つきざとう	月砂糖
つちがしら	鎚頭
つのかぶと	角兜
つよきもの	強き者
てあらもの	手荒者
でぃえるけ	ディエル家
でぃれにけ	ディレニ家
とかいもの	都会者
とげしもの	遂げし者
とどけもの	届物	届け物
とぱるかい	トパル海
とぱるとう	トパル島
とぱるわん	トパル湾
とらめいし	虎目石
とりせらけ	トリセラ家
どーれすけ	ドーレス家
どぅーあけ	ドゥーア家
どうけのひ	道化の日
どうけもの	道化者
どられんけ	ドラレン家
どれいべや	奴隷部屋
ながれもの	流れ者
なまけぐせ	なまけ癖	怠け癖
なまりいろ	鉛色
ならがすけ	ナラガス家
なるしすこ	ナルシス湖
なヴぁとう	ナヴァ島
にちようび	日耀日
にぶんほう	二分法
にべんいけ	ニベン池
にべんがわ	ニベン川	ニベン河
にべんわん	ニベン湾
にもつべや	荷物部屋
にんきもの	人気者
のこぎりば	鋸刃
はーどとう	ハード島
はくじつむ	白日夢
はぐれぐも	浮浪雲
はぐれもの	はぐれ者
はっつさん	ハッツ山
はんたいじ	繁体字
ばくじゅう	麦汁
ばくにゅう	爆乳
ばりおんけ	バリオン家
ひきぐさり	引き鎖
ひしゃかい	被写界
ひだりうで	左腕
ひだりばね	左羽
ひとしばい	一芝居
ひとりべや	一人部屋
ひみつべや	秘密部屋
ひゃっかい	百戒
ひょうけん	氷拳
ひょうせき	氷石
ひょうぞう	氷像
ひよわもの	ひ弱者
ひんにゅう	貧乳
ふじゅべや	付呪部屋
ふとうざい	不凍剤
ふゆごもり	冬籠り
ふらーるけ	フラール家
ふらーるこ	フラール湖
ふるきもの	古き者
ふんきざみ	分刻み
ぶいんがわ	ブイン河
ぶこつもの	無骨物	武骨者	無骨者
ぶすいもの	無粋者
ぶらんくけ	ブランク家
ぶれいもの	無礼者
ぶれとんけ	ブレトン家
ぶれながわ	ブレナ川	ブレナ河
へどらんけ	ヘドラン家
へるねかい	ヘルネ海
べーたせん	ガンマ線
べいかーけ	ベイカー家
ぺっとずき	ペット好き
ほかんだな	保管棚
ほくちがね	火口金
ほくちばこ	火口箱
ほこらしげ	誇らし気
ほんにすこ	ホンニス湖
ぼりうすけ	ボリウス家
まじそんけ	マジソン家
まじゅつし	魔術師
まじょさい	魔女祭
まぬけずら	間抜け面	まぬけ面	マヌケ面
まぬけもの	まぬけ者	間抜け者
まらぴがわ	マラピ川
まるたごや	丸太小屋
まんとーけ	マントー家
みずしょり	水処理
みずのみば	水飲み場
みずまほう	水魔法
みちしるべ	道標
みちびきて	導き手
みどりいろ	緑色
みみずばれ	みみず腫れ	ミミズ腫れ	蚯蚓腫れ	みみず脹れ	ミミズ脹れ
みらーずこ	ミラーズ湖
むしのおう	蟲の王
もくようび	木耀日
やかたもの	屋形者	館者
やねがわら	屋根瓦
やみいちば	闇市場
やりつかい	槍使い
やんしーけ	ヤンシー家
ゆうぎべや	遊戯部屋
ゆみつかい	弓使い
ゆめみびと	夢見人
ようかべん	陽花弁
ようきゅう	妖蟲
よげんしゃ	預言者
よびしもの	呼びし者
よみがえり	黄泉返り
よろいいし	鎧石
よろいした	鎧下
よわきもの	弱き者
らーしむけ	ラーシム家
らいじゅつ	雷術
らいりすけ	ライリス家
らんせるけ	ランセル家
りあどんけ	リアドン家
りねはんけ	リネハン家
りびんぐけ	リビング家
りふとさん	リフト山
りゅうがん	龍眼
りゅうそく	流束
りゅうりん	竜鱗	龍鱗
るまーれこ	ルマーレ湖
るろうもの	流浪者
れいきゅう	霊弓
れいじゅつ	冷術
れどらんけ	レドラン家
ろうじょう	籠城
ろされんけ	ロサレン家
ろみりーけ	ロミリー家
わらいもの	笑い者
わるだくみ	悪だくみ
わんきょく	弯曲
ヴぁんぬけ	ヴァンヌ家
ヴぃえんけ	ヴィエン家
ヴぉれくけ	ヴォレク家
ヴりーどこ	ヴリード湖
あーるけ	アール家
あかいし	赤石
あきべや	空部屋	空き部屋
あしこう	足甲
あだうち	仇討ち
あっぱん	圧板
あつでん	圧電
あにぎみ	兄君
あにじゃ	兄者
あねぎみ	姉君
あねじゃ	姉者
あほうま	あほ馬	アホ馬	阿呆馬
あまいろ	亜麻色
あまぐつ	雨靴
あまやこ	アマヤ湖
ありづか	アリ塚
あるきて	歩き手
いきざま	生き様
いしうお	石魚
いしちく	石地区
いだてん	韋駄天
いぬごや	犬小屋
いぬずき	犬好き
いぬぶえ	犬笛
いのーけ	イノー家
いのりて	祈り手
いぶつし	遺物師
いやして	癒し手	癒手	癒やし手
いらいら	苛々	苛苛
いれずみ	刺青
いわいて	祝い手
いんせき	印石	隕石
いんてつ	隕鉄
いんのう	陰嚢
うあさん	ウア山
うきぼり	浮彫り
うじむし	ウジ虫
うみたて	産み立て
うらべや	裏部屋
うれんけ	ウレン家
えだづの	枝角
えついき	越閾
えるでけ	エルデ家
えんかん	円環
えんしゃ	園舎
えんしゅ	園主
えんせき	炎石
えんたん	炎鍛
えんだい	演台	園代
えんてい	園庭
えんゆう	園囿	苑囿
えんりん	園林
おいおい	追々
おいはぎ	追剥ぎ
おうしょ	凹所
おうたい	応対
おうよう	央耀
おおあれ	大荒れ
おおがま	大釜	大ガマ
おおぐい	大食い
おおざけ	大酒
おおぜい	大勢
おおばか	大馬鹿	大バカ
おおゆれ	大揺れ
おくりて	贈り手	送り手
おじゃま	御邪魔
おすうま	雄馬	牡馬
おそれげ	怖れげ
おだやか	穏か
おとしど	落とし戸	落戸	落し戸
おどりて	踊り手
おびてつ	帯鉄
かいえん	灰塩
かいじゅ	解呪
かいそう	壊走
かいたん	海探
かきこみ	書込
かぎあけ	鍵開け
かぎあし	鉤足
かぎがた	鉤型
かぎざお	鉤竿
かぎづめ	鉤爪	かぎ爪	カギ爪
かぎばり	鉤針
かぎゃく	加虐
かくえん	各園
かくしど	隠し戸	隠戸
かくせい	確性
かくはん	攪拌	撹拌
かしべや	貸し部屋	貸部屋
かじづか	舵柄
かせぎて	稼ぎ手
かぜちく	風地区
かそうば	火葬場
かたくな	頑な
かたりべ	語り部
かつらく	滑落
かながた	金型
かなしげ	悲し気	悲しげ
かなどこ	金床
かねぐら	金蔵
かのもの	彼の者
かみがみ	神々
かようび	火耀日
かわはぎ	皮剥ぎ
かんあつ	感圧
かんおう	陥凹
かんがい	灌漑	灌がい	潅がい
かんこつ	寛骨
かんしゃ	館舎
かんすい	灌水
かんぞう	館蔵
かんたい	簡体
かんだい	館代
かんぬき	閂	貫木
かんぶつ	灌仏
かんぼく	灌木
がいかく	外殻
がいしゃ	会社
きのした	木の下
きゃくぶ	脚部
きゅうし	仇視
きゅうま	吸魔
きょあく	巨悪
きょうぼ	教母
きょせき	巨石
きょぞう	巨像
きょれき	巨礫
きんじて	禁じ手
きんよう	金耀
ぎしまい	義姉妹
ぎしゅう	擬臭
ぎょぐん	魚群
ぎょじん	魚人
ぎんばん	銀板
くいさく	杭柵
くうしつ	空室
くぐつし	傀儡師
くだきて	砕き手
くつぞこ	靴底
くもちく	雲地区
くるしげ	苦し気	苦しげ
けいけつ	経血
けいこつ	頸骨
けいはい	傾敗	傾廃
けがにん	怪我人
けつじゅ	血呪
けつぞう	結像
けつのう	血嚢
けんがん	献眼
けんきん	献芹
けんげき	剣撃
けんざん	献残
けんしゅ	献酒
けんしん	献進
けんじゅ	献寿
けんせい	剣星	剣聖	拳聖
けんせん	献饌
けんそう	献奏
けんたい	献替
けんちゃ	献茶
けんどう	献堂
げいにく	鯨肉
げきてつ	撃鉄
げちゅう	夏中
げつよう	月耀
こあくま	小悪魔	子悪魔
こうかつ	口渇
こうくつ	後屈
こうこう	鉱坑
こうこつ	こう惚
こうだい	構台
こうれい	降霊
こぎつね	仔狐	子狐
こぎぶね	こぎ舟	こぎ船	漕船	漕舟
こげいろ	焦色	焦げ色
こしぬけ	腰抜
こしばい	小芝居
こそどろ	コソ泥
こだぬき	仔狸	子狸
こっさく	骨削
こつつぼ	骨壺
ころして	殺し手
こんせき	魂石
こんばく	魂縛
ごうえん	号園
ごみさん	ゴミ山
さいたん	再誕
さかびん	酒瓶
さがして	探し手
さけびて	叫び手
さばきて	裁き手
さりぎわ	去り際
さるむけ	サルム家
さるんけ	サルン家
さんえん	酸鉛	酸塩
さんぺい	散兵
ざんがい	残がい
ざんげき	斬撃
ししぐも	獅子蜘蛛
しじばり	支持梁
しちゃく	試着
しつあつ	室圧
しばらく	暫らく
しゃがん	遮眼
しゅこん	主根
しょうい	焼夷
しょうか	頌歌
しょうこ	小湖	礁湖
しょげき	初撃
しらかば	白樺
しらじら	白々
しんえん	新園
しんおう	真央
しんせい	親征
じーるけ	ジール家
じかすい	耳下垂
じっかい	十戒
じまんげ	自慢気	自慢げ
じゃくや	寂夜
じゅうし	従士
じゅうと	従徒
じゅけい	樹形
じょこう	女公	女皇
じょせん	除染
じょてい	女帝
じんろう	人狼
すーだけ	スーダ家
すいこう	水耕
すいしん	水浸
すきもの	好き者
すくいて	救い手
すずいし	錫石
すてふだ	捨札	捨て札
すみすけ	スミス家
せいおん	静音
せいけつ	聖血
せいこつ	聖骨
せいこん	聖痕
せいさん	聖蚕
せいせつ	聖節
せいせん	聖遷
せいぜい	精々
せいぞう	聖像
せいたん	聖誕	聖譚
せいだん	聖壇
せいはい	聖杯
せいひつ	聖櫃
せいべつ	聖別
せいめい	聖明
せきだん	石弾
せっこう	斥侯
せろすけ	セロス家
せんかい	旋廻
せんがい	船外
せんこん	戦棍
せんそう	船倉
せんつい	戦鎚	戦槌
せんみつ	繊密
ぜんえん	全園
ぜんくつ	前屈
ぜんけい	前傾
そうしゃ	操者
そうやく	草薬
そのかみ	園神
たいこう	耐航
たこべや	たこ部屋	タコ部屋	蛸部屋
たねまき	種蒔き
たのしげ	楽し気	楽しげ
たまりば	溜場
たんせい	鍛性
たんせつ	鍛接
だごすけ	ダゴス家
だんたい	弾帯
だんれつ	断裂
ちくさつ	畜殺
ちくのう	畜農
ちちぎみ	父君
ちぼしん	地母神
ちょうは	調波
ちょうひ	跳飛
ちょそう	貯槽
ちようび	地耀日
ちんでい	沈泥
つくりて	作り手	創り手	造り手
つなぎて	繋ぎ手
つみいし	積み石
つむぎて	紡ぎ手	紡手
ていせい	定星
てきかく	適確
てっこう	鉄甲	徹甲
てっせん	撤饌
とういん	踏韻
とうえん	当園
とうぞう	頭像
とうらく	頭絡
とつえん	突縁
とつがん	突岩
ともども	共々
とりこう	鳥公
どういろ	銅色
どうえん	同園
どうけつ	洞穴
どうせい	導性
どくのう	毒嚢
どくばり	毒針
どらんけ	ドラン家
どれすけ	ドレス家
どれるけ	ドレル家
どろぶね	泥船	泥舟	どろ船	どろ舟	ドロ船	ドロ舟
ないない	内々	内内
なおして	治し手	直し手
なかなか	中々	中中
ながおし	長押し
なしかけ	ナシカ家
なぞなぞ	謎々
なになに	何々
なまにく	生肉
なみなみ	波々
なんでい	軟泥
にいさま	兄様	兄さま
にぎりて	握り手
にくかい	肉塊
にちよう	日耀
にばしゃ	荷馬車
にべんけ	ニベン家
にょほう	女峰
ぬすっと	盗人
ぬりんけ	ヌリン家
ねえさま	姉さま	姉様
ねこずき	猫好き
ねんせい	燃性
ねんもの	年物
のうとう	納刀
のぼりて	登り手
はいそん	廃村
はくえん	白炎
はくげい	白鯨
はくへん	剥片
はくろう	白狼
はくろく	白鹿
はぐぬま	ハグ沼
はこびて	運び手
はしりて	走り手
はじょう	破城
はなばな	花々
ははぎみ	母君
はるかに	遙かに
はんがん	斑岩
はんせき	斑石
はんたい	繁体
ばかうま	ばか馬	バカ馬	馬鹿馬
ばかもの	馬鹿者	バカ者	大バカ者	ばか者	大ばか者
ばくあつ	爆圧
ばくさん	爆散
ばくそう	爆走
ばっこん	抜根
ばんざい	万歳
ばんせい	蛮性
ひげそり	髭剃り
ひつめつ	必滅
ひにょう	泌尿
ひみつり	秘密裡	秘密裏
ひょうろ	氷炉
びにゅう	微乳	美乳
ふうしゃ	風車
ふきかえ	吹替
ふきこみ	吹込
ふくかん	副官
ふくつう	腹痛
ふくよか	膨よか	脹よか
ふみこみ	踏込
ふんせき	噴石
ぶんえん	分園
へいえん	閉園
へいしょ	閉所
へいわり	平和裏
へらんけ	ヘラン家
べつえん	別園
ほうこう	咆吼
ほうじゅ	宝珠
ほうらん	抱卵
ほしぼし	星々
ほねぼね	骨々
ほんえん	本園
ぼうまん	膨満
ぼすべや	ボス部屋
ぼっけん	木剣
ぼろぶね	ぼろ船	ボロ船	ぼろ舟	ボロ舟
まえあし	前脚
まかぴこ	マカピ湖
まちがい	間違
まちまち	町々	街々
まなびて	学び手
まんとう	マン島
みぎうで	右腕
みぎばね	右羽
みせみせ	店々
みちみち	道々
むぞうさ	無造作
むびゅう	無謬
むらむら	村々
めぎつね	女狐
めすうま	雌馬	牝馬
めんどり	雌鶏
もいるけ	モイル家
もくよう	木耀
もどして	戻し手
もりびと	守り人
やくさい	厄災
やすざけ	安酒
やすやす	易々
やせがた	痩形
やどぬし	宿主
ゆうせい	雄性
ゆうたい	幽体
ゆかいた	床板
ゆきちく	雪地区
ようけん	妖犬
ようこう	溶鉱
ようてつ	溶鉄
ようどう	揺動
ようにく	羊肉
ようれん	溶錬
よたもの	よた者
よみこみ	読込
よみとり	読取
よりしろ	依代
らいえん	来園
らいぎん	雷銀
らいせき	雷石
らんこう	乱交
らんのう	卵のう
りゅうろ	流路
るごすけ	ルゴス家
れいけん	霊見
れいげき	冷撃
れきせい	歴青
れんきん	錬金
れんげき	連撃
れんとう	連祷
ろしょう	炉床
ろんぐけ	ロング家
わいせつ	猥せつ
わざもの	ワザ物
あさり	漁り
あみて	編み手
ありか	在り処
あんし	暗視
いそん	遺存
いちば	市場
いちみ	一味
いのう	胃嚢
いはい	遺灰
いろみ	色味
うーけ	ウー家
うかく	羽角
うらけ	裏毛
えさば	餌場	えさ場	エサ場
えんぼ	園圃
おきば	置場
おじか	雄鹿	牡鹿
おそれ	怖れ
おもり	錘
おりて	織り手	織手
かあつ	加圧
かいど	灰土
かいね	買い値
かかい	下階
かきて	描き手
かじば	鍛冶場
かじや	鍛冶屋
かたき	仇
かよう	火耀
かりて	刈り手	狩り手
かれい	加齢
かんし	鉗子
かんな	鉋
がふん	牙粉
きえん	帰園
きせき	貴石
きせん	貴賤
きどく	既読
くまで	くま手	クマ手
けいう	恵雨
けつげ	ケツ毛
けもの	獣
げせん	下賤
げっし	げっ歯	齧歯
こうひ	公妃
こうま	子馬
こうや	荒野
こおに	子鬼	小鬼
こぐま	仔熊	子熊
こじか	仔鹿	子鹿
こたび	此度
こなた	此方
こぶね	小船	小舟
こべや	小部屋
こぼく	古木
こんい	婚戚
ごぎて	漕ぎ手
ごしゃ	誤射
ごのみ	好み
ごみん	護民
さいと	催吐
さいど	彩度
させき	砂石
しこつ	趾骨
しさく	支索
しせい	雌性
しせき	紫石
しとつ	刺突
しにく	屍肉
しょく	蝕
しれつ	歯列
じしゃ	待者
じっさ	実査
じゅぐ	呪具
すいき	水鬼
すみか	棲家	棲み家	棲み処	住処	住み処
せいか	聖化
せいむ	聖務
せきか	石化
せっか	雪花	雪華
せりふ	台詞
せんぎ	戦技
ぜんぎ	前戯
そうが	双牙
そのめ	園女
たいが	胎芽
たきぎ	薪木
だせき	蛇石
だのみ	恃み
だるけ	ダル家
ちゅう	蟲
ちよう	地耀
つうだ	痛打
てだれ	手練れ	手練
てっぴ	鉄皮
てふだ	手札
とうか	灯火
とびて	跳び手	飛び手
とりて	捕り手
ねほり	根堀り
はくひ	白皮
はしり	奔り
はとう	波濤
はほり	葉堀り
はるか	遙か
ひいし	火石
ひたい	額
